Order_ID,Product_ID,Warehouse_Block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Shipment_Distance,Gender,Discount_Offered,On_time_delivery,Seller_Name
1,156308,D,Flight,4,2,177,low,F,44,1,Rani Enterprises
2,156317,F,Flight,4,,216,low,M,59,1,Rani Enterprises
3,156098,A,Flight,,2,183,low,M,48,1,Rani Enterprises
4,156324,B,Flight,3,3,176,medium,M,10,1,Rani Enterprises
5,155531,C,Flight,2,2,184,medium,F,46,1,Rani Enterprises
6,155417,F,Flight,3,1,162,medium,F,12,1,Rani Enterprises
7,155733,D,Flight,3,4,250,low,F,3,1,Rani Enterprises
8,156169,F,Flight,4,1,233,low,F,48,1,Rani Enterprises
9,155386,A,Flight,3,4,150,low,F,11,1,Rani Enterprises
10,155545,B,Flight,3,2,164,medium,F,29,1,Rani Enterprises
11,156058,C,Flight,3,4,189,medium,M,12,1,Rani Enterprises
12,156057,F,Flight,4,5,232,medium,F,32,1,Rani Enterprises
13,156080,D,Flight,3,5,198,medium,F,1,1,Rani Enterprises
14,155580,F,Flight,4,4,275,high,M,29,1,Rani Enterprises
15,155884,A,Flight,4,3,152,low,M,43,1,Rani Enterprises
16,155826,B,Flight,4,3,227,low,F,45,1,Rani Enterprises
17,156149,C,Flight,3,4,143,medium,F,6,1,Rani Enterprises
18,155921,F,Ship,5,,227,medium,M,36,1,Rani Enterprises
19,155658,D,Ship,5,5,239,high,M,18,1,Rani Enterprises
20,155381,F,Ship,4,5,145,medium,M,45,1,Rani Enterprises
21,156040,A,Ship,3,3,161,medium,F,38,1,Rani Enterprises
22,155407,B,Ship,3,1,232,medium,F,51,1,Rani Enterprises
23,155641,C,Ship,2,5,156,low,M,2,1,Rani Enterprises
24,155566,F,Ship,4,3,211,high,M,12,1,Rani Enterprises
25,156324,D,Ship,4,5,251,medium,F,28,1,Rani Enterprises
26,155721,F,Ship,3,1,225,low,M,29,1,Rani Enterprises
27,155664,A,Ship,4,1,172,high,F,24,1,Rani Enterprises
28,156138,B,Ship,5,1,162,medium,M,31,1,Rani Enterprises
29,155604,C,Ship,2,3,234,low,M,44,1,Rani Enterprises
30,156071,F,Ship,5,4,183,low,F,36,1,Rani Enterprises
31,155681,D,Ship,3,4,266,medium,F,38,1,Rani Enterprises
32,155973,F,Ship,5,3,257,low,F,61,1,Rani Enterprises
33,155500,A,Ship,3,,223,low,F,22,1,Rani Enterprises
34,156300,B,Ship,4,2,234,medium,M,4,1,Rani Enterprises
35,155504,C,Ship,4,2,227,medium,F,22,1,Rani Enterprises
36,155901,F,Ship,5,4,149,medium,F,44,1,Rani Enterprises
37,155602,D,Ship,3,5,137,high,F,62,1,Rani Enterprises
38,155835,F,Ship,2,4,181,medium,F,16,1,Rani Enterprises
39,155733,A,Ship,5,1,215,low,F,56,1,Rani Enterprises
40,156026,B,Ship,4,2,269,low,F,45,1,Rani Enterprises
41,156185,C,Ship,5,1,227,low,M,15,1,Rani Enterprises
